"Reference","Internal Part Number","PValue","Populated"
"AE1","1-0000461","073391","1"
"BT1","1-0000246","CR1220","1"
"C1","1-0000007","0.1uF","1"
"C2","1-0000007","0.1uF","1"
"C3","1-0000007","0.1uF","1"
"C4","1-0000007","0.1uF","1"
"C5","1-0000018","1uF","1"
"C6","1-0000136","4.7uF","1"
"C7","1-0000136","4.7uF","1"
"C8","1-0000075","10uF","1"
"C9","1-0000018","1uF","1"
"C10","1-0000018","1uF","1"
"C11","1-0000007","0.1uF","1"
"C12","1-0000926","220nF","1"
"C13","1-0000007","0.1uF","1"
"C14","1-0000007","0.1uF","1"
"C15","1-0000007","0.1uF","1"
"C16","1-0000007","0.1uF","1"
"C17","1-0000007","0.1uF","1"
"C18","1-0000007","0.1uF","1"
"C19","1-0000075","10uF","1"
"C20","1-0000007","0.1uF","1"
"C21","1-0000007","0.1uF","1"
"C22","1-0000007","0.1uF","1"
"C23","1-0000075","10uF","0"
"C24","1-0000018","1uF","0"
"C25","1-0000007","0.1uF","0"
"C26","1-0000458","47pF","1"
"C27","1-0000007","0.1uF","0"
"C28","1-0000014","10nF","1"
"C29","1-0000007","0.1uF","1"
"D1","1-0001672","BZX84C15","1"
"D2","1-0001537","SMBJ64A","1"
"D3","1-0000599","Blue","0"
"D4","1-0000601","Yellow","0"
"F1","1-0000269","2.5A","1"
"FID1","0-0000000","Fiducial","0"
"FID2","0-0000000","Fiducial","0"
"FID3","0-0000000","Fiducial","0"
"FID4","0-0000000","Fiducial","0"
"H1","0-0000000","M3","0"
"H2","0-0000000","M3","0"
"J1","0-0000000","NP_Conn_01x02","0"
"J2","1-0000455","","1"
"J3","1-0001156","4 Pos","1"
"J4","1-0001205","Qwiic","1"
"J5","1-0001156","4 Pos","1"
"J6","0-0000000","Spares","0"
"J7","0-0000000","NP_Conn_01x02","0"
"J8","0-0000000","ICSP","0"
"J9","0-0000000","Power","0"
"J10","0-0000000","Power Switch","0"
"J11","1-0000050","XBee Socket","0"
"J12","1-0000190","DM3CS","1"
"L1","1-0000931","3.3uH","1"
"L2","1-0000459","27nH","1"
"PCB1","3-0000270","Bare PCB","1"
"PS1","1-0000727","TSR 0.5","1"
"Q1","1-0001670","SQ2337ES","1"
"R1","1-0000006","NP","0"
"R2","1-0000010","10k","1"
"R3","1-0000010","10k","1"
"R4","1-0000010","10k","1"
"R5","1-0000010","10k","1"
"R6","1-0000010","10k","1"
"R7","1-0000010","10k","1"
"R8","1-0000010","10k","1"
"R9","1-0000010","10k","1"
"R10","1-0000174","100k","1"
"R11","1-0000174","100k","1"
"R12","1-0000010","10k","1"
"R13","1-0000006","NP","0"
"R14","1-0000006","0R0","1"
"R15","1-0000010","10k","1"
"R16","1-0000010","10k","1"
"R17","1-0000006","NP","0"
"R18","1-0000006","0R0","1"
"R19","1-0000174","100k","1"
"R20","1-0000006","NP","0"
"R21","1-0000068","470k","1"
"R22","1-0000010","10k","1"
"R23","1-0001551","2.21k","1"
"R24","1-0001551","2.21k","1"
"R25","1-0001553","1.21k","1"
"R26","1-0001551","2.21k","1"
"R27","1-0001553","1.21k","1"
"R28","1-0001551","2.21k","1"
"R29","1-0001553","1.21k","1"
"R30","1-0001553","1.21k","1"
"R31","1-0000174","100k","1"
"R32","1-0000006","NP","0"
"R33","1-0000008","150","0"
"R34","1-0000010","NP","1"
"R35","1-0000006","NP","0"
"R36","1-0000008","150","0"
"R37","1-0000678","10","1"
"R38","1-0000174","100k","1"
"R39","1-0000174","100k","1"
"U1","1-0000207","STM32F103","1"
"U2","1-0000465","TEC2-0921","1"
"U3","1-0000576","TPS1H000","1"
"U4","1-0001530","ADS131M04QPWRQ1","1"
"U5","1-0001542","8.192MHz","1"
"U6","1-0001471","BME688","1"
"U7","1-0000264","OPA2990","1"
"U8","1-0000264","OPA2990","1"
"U9","1-0001535","ADXL335","1"
"U10","1-0000785","XB3-24","0"
"U11","1-0000464","MAX-M8C-0","1"
"Y1","1-0000721","8MHz","1"
